,date,actual_mean_temp,average_precipitation,location
0,2014-7-1,81,0.1,CLT
1,2014-7-2,85,0.1,CLT
2,2014-7-3,82,0.11,CLT
3,2014-7-4,75,0.1,CLT
4,2014-7-5,72,0.1,CLT
5,2014-7-6,74,0.1,CLT
6,2014-7-7,79,0.11,CLT
7,2014-7-8,83,0.11,CLT
8,2014-7-9,80,0.12,CLT
9,2014-7-10,78,0.11,CLT
10,2014-7-11,78,0.12,CLT
11,2014-7-12,79,0.11,CLT
12,2014-7-13,81,0.12,CLT
13,2014-7-14,85,0.12,CLT
14,2014-7-15,81,0.12,CLT
15,2014-7-16,76,0.12,CLT
16,2014-7-17,74,0.12,CLT
17,2014-7-18,77,0.12,CLT
18,2014-7-19,70,0.12,CLT
19,2014-7-20,74,0.12,CLT
20,2014-7-21,74,0.12,CLT
21,2014-7-22,79,0.12,CLT
22,2014-7-23,80,0.13,CLT
23,2014-7-24,80,0.12,CLT
24,2014-7-25,77,0.13,CLT
25,2014-7-26,78,0.13,CLT
26,2014-7-27,80,0.13,CLT
27,2014-7-28,79,0.13,CLT
28,2014-7-29,73,0.14,CLT
29,2014-7-30,74,0.14,CLT
30,2014-7-31,72,0.14,CLT
31,2014-8-1,68,0.14,CLT
32,2014-8-2,69,0.14,CLT
33,2014-8-3,77,0.15,CLT
34,2014-8-4,78,0.15,CLT
35,2014-8-5,77,0.15,CLT
36,2014-8-6,78,0.14,CLT
37,2014-8-7,78,0.13,CLT
38,2014-8-8,77,0.13,CLT
39,2014-8-9,76,0.13,CLT
40,2014-8-10,70,0.13,CLT
41,2014-8-11,78,0.13,CLT
42,2014-8-12,81,0.13,CLT
43,2014-8-13,75,0.14,CLT
44,2014-8-14,71,0.14,CLT
45,2014-8-15,73,0.14,CLT
46,2014-8-16,77,0.14,CLT
47,2014-8-17,78,0.14,CLT
48,2014-8-18,81,0.13,CLT
49,2014-8-19,80,0.14,CLT
50,2014-8-20,79,0.14,CLT
51,2014-8-21,80,0.13,CLT
52,2014-8-22,83,0.15,CLT
53,2014-8-23,82,0.13,CLT
54,2014-8-24,74,0.14,CLT
55,2014-8-25,72,0.14,CLT
56,2014-8-26,72,0.14,CLT
57,2014-8-27,72,0.13,CLT
58,2014-8-28,77,0.13,CLT
59,2014-8-29,79,0.13,CLT
60,2014-8-30,79,0.12,CLT
61,2014-8-31,83,0.12,CLT
62,2014-9-1,82,0.11,CLT
63,2014-9-2,82,0.12,CLT
64,2014-9-3,81,0.11,CLT
65,2014-9-4,77,0.11,CLT
66,2014-9-5,79,0.11,CLT
67,2014-9-6,80,0.11,CLT
68,2014-9-7,79,0.11,CLT
69,2014-9-8,70,0.11,CLT
70,2014-9-9,72,0.11,CLT
71,2014-9-10,72,0.1,CLT
72,2014-9-11,77,0.1,CLT
73,2014-9-12,81,0.09,CLT
74,2014-9-13,76,0.11,CLT
75,2014-9-14,66,0.1,CLT
76,2014-9-15,76,0.11,CLT
77,2014-9-16,76,0.11,CLT
78,2014-9-17,69,0.11,CLT
79,2014-9-18,71,0.11,CLT
80,2014-9-19,73,0.1,CLT
81,2014-9-20,71,0.11,CLT
82,2014-9-21,71,0.11,CLT
83,2014-9-22,69,0.1,CLT
84,2014-9-23,59,0.11,CLT
85,2014-9-24,59,0.1,CLT
86,2014-9-25,66,0.11,CLT
87,2014-9-26,67,0.11,CLT
88,2014-9-27,69,0.11,CLT
89,2014-9-28,68,0.12,CLT
90,2014-9-29,67,0.11,CLT
91,2014-9-30,71,0.12,CLT
92,2014-10-1,70,0.12,CLT
93,2014-10-2,72,0.11,CLT
94,2014-10-3,70,0.12,CLT
95,2014-10-4,55,0.12,CLT
96,2014-10-5,52,0.12,CLT
97,2014-10-6,62,0.12,CLT
98,2014-10-7,67,0.11,CLT
99,2014-10-8,72,0.12,CLT
100,2014-10-9,66,0.12,CLT
101,2014-10-10,72,0.11,CLT
102,2014-10-11,78,0.12,CLT
103,2014-10-12,63,0.12,CLT
104,2014-10-13,66,0.12,CLT
