,date,actual_mean_temp,average_precipitation,location
0,2014-7-1,70,0.0,CQT
1,2014-7-2,70,0.0,CQT
2,2014-7-3,72,0.0,CQT
3,2014-7-4,72,0.0,CQT
4,2014-7-5,75,0.0,CQT
5,2014-7-6,73,0.0,CQT
6,2014-7-7,77,0.0,CQT
7,2014-7-8,77,0.0,CQT
8,2014-7-9,75,0.0,CQT
9,2014-7-10,76,0.0,CQT
10,2014-7-11,73,0.0,CQT
11,2014-7-12,74,0.0,CQT
12,2014-7-13,75,0.0,CQT
13,2014-7-14,74,0.0,CQT
14,2014-7-15,76,0.0,CQT
15,2014-7-16,74,0.01,CQT
16,2014-7-17,73,0.0,CQT
17,2014-7-18,72,0.0,CQT
18,2014-7-19,71,0.0,CQT
19,2014-7-20,73,0.0,CQT
20,2014-7-21,74,0.0,CQT
21,2014-7-22,75,0.0,CQT
22,2014-7-23,77,0.0,CQT
23,2014-7-24,79,0.0,CQT
24,2014-7-25,79,0.0,CQT
25,2014-7-26,77,0.0,CQT
26,2014-7-27,76,0.0,CQT
27,2014-7-28,78,0.0,CQT
28,2014-7-29,78,0.0,CQT
29,2014-7-30,79,0.0,CQT
30,2014-7-31,77,0.0,CQT
31,2014-8-1,76,0.0,CQT
32,2014-8-2,78,0.0,CQT
33,2014-8-3,79,0.0,CQT
34,2014-8-4,76,0.0,CQT
35,2014-8-5,73,0.0,CQT
36,2014-8-6,70,0.01,CQT
37,2014-8-7,73,0.0,CQT
38,2014-8-8,74,0.0,CQT
39,2014-8-9,75,0.0,CQT
40,2014-8-10,76,0.0,CQT
41,2014-8-11,75,0.0,CQT
42,2014-8-12,75,0.0,CQT
43,2014-8-13,73,0.0,CQT
44,2014-8-14,74,0.01,CQT
45,2014-8-15,76,0.0,CQT
46,2014-8-16,78,0.0,CQT
47,2014-8-17,78,0.0,CQT
48,2014-8-18,76,0.0,CQT
49,2014-8-19,76,0.0,CQT
50,2014-8-20,76,0.0,CQT
51,2014-8-21,73,0.0,CQT
52,2014-8-22,74,0.01,CQT
53,2014-8-23,76,0.0,CQT
54,2014-8-24,75,0.0,CQT
55,2014-8-25,72,0.0,CQT
56,2014-8-26,75,0.0,CQT
57,2014-8-27,79,0.0,CQT
58,2014-8-28,80,0.01,CQT
59,2014-8-29,78,0.0,CQT
60,2014-8-30,77,0.0,CQT
61,2014-8-31,78,0.0,CQT
62,2014-9-1,78,0.0,CQT
63,2014-9-2,76,0.0,CQT
64,2014-9-3,75,0.0,CQT
