,date,actual_mean_temp,average_precipitation,location
0,2014-7-1,76,0.16,IND
1,2014-7-2,71,0.16,IND
2,2014-7-3,67,0.15,IND
3,2014-7-4,67,0.15,IND
4,2014-7-5,69,0.16,IND
5,2014-7-6,74,0.15,IND
6,2014-7-7,74,0.16,IND
7,2014-7-8,74,0.16,IND
8,2014-7-9,72,0.16,IND
9,2014-7-10,71,0.16,IND
10,2014-7-11,71,0.16,IND
11,2014-7-12,74,0.16,IND
12,2014-7-13,78,0.17,IND
13,2014-7-14,75,0.16,IND
14,2014-7-15,64,0.17,IND
15,2014-7-16,63,0.15,IND
16,2014-7-17,65,0.15,IND
17,2014-7-18,68,0.15,IND
18,2014-7-19,68,0.14,IND
19,2014-7-20,71,0.13,IND
20,2014-7-21,74,0.14,IND
21,2014-7-22,78,0.14,IND
22,2014-7-23,69,0.14,IND
23,2014-7-24,67,0.14,IND
24,2014-7-25,65,0.13,IND
25,2014-7-26,75,0.13,IND
26,2014-7-27,76,0.12,IND
27,2014-7-28,65,0.12,IND
28,2014-7-29,64,0.13,IND
29,2014-7-30,68,0.13,IND
30,2014-7-31,70,0.12,IND
31,2014-8-1,72,0.11,IND
32,2014-8-2,73,0.11,IND
33,2014-8-3,73,0.11,IND
34,2014-8-4,74,0.1,IND
35,2014-8-5,73,0.1,IND
36,2014-8-6,71,0.11,IND
37,2014-8-7,71,0.1,IND
38,2014-8-8,70,0.09,IND
39,2014-8-9,76,0.1,IND
40,2014-8-10,77,0.1,IND
41,2014-8-11,75,0.09,IND
42,2014-8-12,65,0.1,IND
43,2014-8-13,67,0.09,IND
44,2014-8-14,70,0.09,IND
45,2014-8-15,63,0.1,IND
46,2014-8-16,67,0.1,IND
47,2014-8-17,73,0.11,IND
48,2014-8-18,76,0.11,IND
49,2014-8-19,76,0.1,IND
50,2014-8-20,74,0.11,IND
51,2014-8-21,78,0.1,IND
52,2014-8-22,80,0.1,IND
53,2014-8-23,79,0.1,IND
54,2014-8-24,78,0.09,IND
55,2014-8-25,81,0.1,IND
56,2014-8-26,81,0.11,IND
57,2014-8-27,79,0.1,IND
58,2014-8-28,75,0.1,IND
59,2014-8-29,78,0.1,IND
60,2014-8-30,75,0.1,IND
61,2014-8-31,76,0.1,IND
62,2014-9-1,77,0.1,IND
63,2014-9-2,72,0.1,IND
64,2014-9-3,74,0.1,IND
65,2014-9-4,77,0.09,IND
66,2014-9-5,80,0.1,IND
67,2014-9-6,67,0.1,IND
68,2014-9-7,65,0.11,IND
69,2014-9-8,68,0.1,IND
70,2014-9-9,69,0.1,IND
71,2014-9-10,75,0.11,IND
72,2014-9-11,64,0.11,IND
73,2014-9-12,59,0.11,IND
74,2014-9-13,55,0.11,IND
75,2014-9-14,57,0.11,IND
76,2014-9-15,57,0.11,IND
77,2014-9-16,59,0.09,IND
78,2014-9-17,56,0.1,IND
79,2014-9-18,61,0.09,IND
80,2014-9-19,63,0.11,IND
81,2014-9-20,67,0.1,IND
82,2014-9-21,65,0.11,IND
83,2014-9-22,57,0.11,IND
84,2014-9-23,60,0.11,IND
85,2014-9-24,62,0.1,IND
86,2014-9-25,66,0.11,IND
