,date,actual_mean_temp,average_precipitation,location
0,2014-7-1,82,0.21,JAX
1,2014-7-2,81,0.21,JAX
2,2014-7-3,84,0.22,JAX
3,2014-7-4,81,0.21,JAX
4,2014-7-5,82,0.21,JAX
5,2014-7-6,79,0.21,JAX
6,2014-7-7,81,0.21,JAX
7,2014-7-8,82,0.21,JAX
8,2014-7-9,83,0.22,JAX
9,2014-7-10,82,0.21,JAX
10,2014-7-11,81,0.21,JAX
11,2014-7-12,76,0.2,JAX
12,2014-7-13,80,0.21,JAX
13,2014-7-14,83,0.2,JAX
14,2014-7-15,82,0.2,JAX
15,2014-7-16,81,0.2,JAX
16,2014-7-17,79,0.21,JAX
17,2014-7-18,79,0.21,JAX
18,2014-7-19,82,0.22,JAX
19,2014-7-20,83,0.22,JAX
20,2014-7-21,81,0.23,JAX
21,2014-7-22,81,0.22,JAX
22,2014-7-23,83,0.22,JAX
23,2014-7-24,83,0.23,JAX
24,2014-7-25,84,0.22,JAX
25,2014-7-26,83,0.22,JAX
26,2014-7-27,86,0.2,JAX
27,2014-7-28,87,0.2,JAX
28,2014-7-29,85,0.2,JAX
29,2014-7-30,81,0.2,JAX
30,2014-7-31,81,0.21,JAX
31,2014-8-1,84,0.21,JAX
32,2014-8-2,82,0.2,JAX
33,2014-8-3,81,0.21,JAX
34,2014-8-4,80,0.19,JAX
35,2014-8-5,83,0.2,JAX
36,2014-8-6,84,0.19,JAX
37,2014-8-7,85,0.2,JAX
38,2014-8-8,84,0.19,JAX
39,2014-8-9,84,0.2,JAX
40,2014-8-10,83,0.21,JAX
41,2014-8-11,82,0.21,JAX
42,2014-8-12,82,0.2,JAX
43,2014-8-13,80,0.21,JAX
44,2014-8-14,82,0.21,JAX
45,2014-8-15,81,0.21,JAX
46,2014-8-16,83,0.2,JAX
47,2014-8-17,83,0.2,JAX
48,2014-8-18,84,0.21,JAX
49,2014-8-19,84,0.21,JAX
50,2014-8-20,84,0.22,JAX
51,2014-8-21,85,0.22,JAX
52,2014-8-22,86,0.22,JAX
53,2014-8-23,87,0.24,JAX
54,2014-8-24,82,0.25,JAX
55,2014-8-25,80,0.25,JAX
56,2014-8-26,78,0.26,JAX
57,2014-8-27,77,0.26,JAX
58,2014-8-28,77,0.25,JAX
59,2014-8-29,80,0.26,JAX
60,2014-8-30,82,0.25,JAX
61,2014-8-31,82,0.26,JAX
62,2014-9-1,84,0.28,JAX
63,2014-9-2,83,0.29,JAX
64,2014-9-3,81,0.29,JAX
65,2014-9-4,79,0.29,JAX
66,2014-9-5,79,0.29,JAX
67,2014-9-6,80,0.29,JAX
68,2014-9-7,76,0.29,JAX
69,2014-9-8,80,0.28,JAX
70,2014-9-9,79,0.27,JAX
71,2014-9-10,80,0.27,JAX
72,2014-9-11,80,0.27,JAX
73,2014-9-12,81,0.28,JAX
74,2014-9-13,82,0.28,JAX
75,2014-9-14,82,0.29,JAX
76,2014-9-15,82,0.29,JAX
77,2014-9-16,77,0.28,JAX
78,2014-9-17,80,0.28,JAX
79,2014-9-18,81,0.28,JAX
80,2014-9-19,77,0.29,JAX
81,2014-9-20,73,0.28,JAX
82,2014-9-21,76,0.26,JAX
83,2014-9-22,76,0.26,JAX
84,2014-9-23,75,0.26,JAX
85,2014-9-24,68,0.26,JAX
86,2014-9-25,71,0.26,JAX
87,2014-9-26,74,0.25,JAX
88,2014-9-27,75,0.26,JAX
89,2014-9-28,80,0.24,JAX
90,2014-9-29,76,0.24,JAX
91,2014-9-30,74,0.24,JAX
92,2014-10-1,76,0.21,JAX
93,2014-10-2,78,0.2,JAX
94,2014-10-3,78,0.2,JAX
95,2014-10-4,68,0.19,JAX
96,2014-10-5,60,0.18,JAX
97,2014-10-6,64,0.17,JAX
98,2014-10-7,72,0.18,JAX
99,2014-10-8,76,0.17,JAX
100,2014-10-9,76,0.17,JAX
101,2014-10-10,76,0.16,JAX
102,2014-10-11,75,0.16,JAX
