,date,actual_mean_temp,average_precipitation,location
0,2014-7-1,84,0.16,KHOU
1,2014-7-2,84,0.16,KHOU
2,2014-7-3,84,0.16,KHOU
3,2014-7-4,82,0.15,KHOU
4,2014-7-5,82,0.16,KHOU
5,2014-7-6,81,0.15,KHOU
6,2014-7-7,84,0.15,KHOU
7,2014-7-8,83,0.15,KHOU
8,2014-7-9,85,0.14,KHOU
9,2014-7-10,83,0.14,KHOU
10,2014-7-11,83,0.13,KHOU
11,2014-7-12,84,0.12,KHOU
12,2014-7-13,87,0.13,KHOU
13,2014-7-14,86,0.12,KHOU
14,2014-7-15,82,0.12,KHOU
15,2014-7-16,82,0.12,KHOU
16,2014-7-17,83,0.1,KHOU
17,2014-7-18,81,0.11,KHOU
18,2014-7-19,79,0.11,KHOU
19,2014-7-20,83,0.11,KHOU
20,2014-7-21,87,0.1,KHOU
21,2014-7-22,87,0.1,KHOU
22,2014-7-23,86,0.11,KHOU
23,2014-7-24,84,0.1,KHOU
24,2014-7-25,85,0.1,KHOU
25,2014-7-26,87,0.11,KHOU
26,2014-7-27,87,0.1,KHOU
27,2014-7-28,88,0.1,KHOU
28,2014-7-29,83,0.1,KHOU
29,2014-7-30,83,0.09,KHOU
30,2014-7-31,84,0.09,KHOU
31,2014-8-1,80,0.1,KHOU
32,2014-8-2,77,0.1,KHOU
33,2014-8-3,81,0.1,KHOU
34,2014-8-4,83,0.11,KHOU
35,2014-8-5,83,0.1,KHOU
36,2014-8-6,85,0.11,KHOU
37,2014-8-7,87,0.11,KHOU
38,2014-8-8,87,0.1,KHOU
39,2014-8-9,86,0.11,KHOU
40,2014-8-10,86,0.11,KHOU
41,2014-8-11,86,0.1,KHOU
42,2014-8-12,87,0.11,KHOU
43,2014-8-13,84,0.11,KHOU
44,2014-8-14,83,0.11,KHOU
45,2014-8-15,86,0.11,KHOU
46,2014-8-16,89,0.12,KHOU
47,2014-8-17,88,0.12,KHOU
48,2014-8-18,86,0.13,KHOU
49,2014-8-19,85,0.13,KHOU
50,2014-8-20,85,0.13,KHOU
51,2014-8-21,87,0.13,KHOU
52,2014-8-22,87,0.13,KHOU
53,2014-8-23,87,0.13,KHOU
54,2014-8-24,86,0.14,KHOU
55,2014-8-25,87,0.13,KHOU
56,2014-8-26,86,0.14,KHOU
57,2014-8-27,85,0.14,KHOU
58,2014-8-28,83,0.14,KHOU
59,2014-8-29,83,0.15,KHOU
60,2014-8-30,84,0.15,KHOU
61,2014-8-31,79,0.16,KHOU
62,2014-9-1,84,0.15,KHOU
63,2014-9-2,85,0.14,KHOU
64,2014-9-3,84,0.14,KHOU
65,2014-9-4,85,0.14,KHOU
66,2014-9-5,84,0.14,KHOU
67,2014-9-6,85,0.14,KHOU
68,2014-9-7,84,0.15,KHOU
69,2014-9-8,82,0.15,KHOU
70,2014-9-9,85,0.15,KHOU
71,2014-9-10,87,0.16,KHOU
72,2014-9-11,87,0.15,KHOU
73,2014-9-12,82,0.15,KHOU
74,2014-9-13,72,0.15,KHOU
75,2014-9-14,71,0.15,KHOU
76,2014-9-15,80,0.14,KHOU
77,2014-9-16,83,0.13,KHOU
78,2014-9-17,82,0.13,KHOU
79,2014-9-18,77,0.13,KHOU
80,2014-9-19,79,0.12,KHOU
81,2014-9-20,81,0.13,KHOU
82,2014-9-21,82,0.13,KHOU
83,2014-9-22,83,0.12,KHOU
84,2014-9-23,74,0.13,KHOU
85,2014-9-24,75,0.13,KHOU
86,2014-9-25,74,0.13,KHOU
87,2014-9-26,77,0.13,KHOU
88,2014-9-27,79,0.13,KHOU
89,2014-9-28,81,0.13,KHOU
90,2014-9-29,80,0.12,KHOU
91,2014-9-30,80,0.13,KHOU
92,2014-10-1,83,0.15,KHOU
93,2014-10-2,82,0.16,KHOU
94,2014-10-3,74,0.17,KHOU
95,2014-10-4,68,0.17,KHOU
96,2014-10-5,69,0.17,KHOU
97,2014-10-6,75,0.17,KHOU
98,2014-10-7,78,0.17,KHOU
99,2014-10-8,80,0.17,KHOU
100,2014-10-9,79,0.17,KHOU
101,2014-10-10,83,0.17,KHOU
102,2014-10-11,76,0.18,KHOU
103,2014-10-12,76,0.18,KHOU
104,2014-10-13,72,0.18,KHOU
105,2014-10-14,67,0.19,KHOU
106,2014-10-15,68,0.2,KHOU
107,2014-10-16,72,0.21,KHOU
108,2014-10-17,73,0.2,KHOU
109,2014-10-18,75,0.21,KHOU
110,2014-10-19,72,0.21,KHOU
111,2014-10-20,71,0.2,KHOU
112,2014-10-21,69,0.21,KHOU
113,2014-10-22,72,0.2,KHOU
114,2014-10-23,69,0.2,KHOU
115,2014-10-24,68,0.19,KHOU
