,date,actual_mean_temp,average_precipitation,location
0,2014-7-1,81,0.12,KNYC
1,2014-7-2,82,0.13,KNYC
2,2014-7-3,78,0.12,KNYC
3,2014-7-4,70,0.13,KNYC
4,2014-7-5,72,0.12,KNYC
5,2014-7-6,75,0.13,KNYC
6,2014-7-7,81,0.13,KNYC
7,2014-7-8,81,0.14,KNYC
8,2014-7-9,80,0.14,KNYC
9,2014-7-10,78,0.15,KNYC
10,2014-7-11,79,0.15,KNYC
11,2014-7-12,78,0.15,KNYC
12,2014-7-13,78,0.17,KNYC
13,2014-7-14,78,0.16,KNYC
14,2014-7-15,79,0.15,KNYC
15,2014-7-16,75,0.16,KNYC
16,2014-7-17,74,0.15,KNYC
17,2014-7-18,73,0.15,KNYC
18,2014-7-19,72,0.16,KNYC
19,2014-7-20,72,0.15,KNYC
20,2014-7-21,76,0.15,KNYC
21,2014-7-22,79,0.14,KNYC
22,2014-7-23,80,0.15,KNYC
23,2014-7-24,75,0.15,KNYC
24,2014-7-25,74,0.15,KNYC
25,2014-7-26,75,0.16,KNYC
26,2014-7-27,78,0.16,KNYC
27,2014-7-28,75,0.17,KNYC
28,2014-7-29,70,0.17,KNYC
29,2014-7-30,72,0.17,KNYC
30,2014-7-31,75,0.17,KNYC
31,2014-8-1,78,0.16,KNYC
32,2014-8-2,69,0.16,KNYC
33,2014-8-3,71,0.17,KNYC
34,2014-8-4,77,0.16,KNYC
35,2014-8-5,81,0.16,KNYC
36,2014-8-6,77,0.16,KNYC
37,2014-8-7,75,0.15,KNYC
38,2014-8-8,74,0.15,KNYC
39,2014-8-9,77,0.15,KNYC
40,2014-8-10,78,0.14,KNYC
41,2014-8-11,79,0.14,KNYC
42,2014-8-12,75,0.14,KNYC
43,2014-8-13,75,0.14,KNYC
44,2014-8-14,70,0.15,KNYC
45,2014-8-15,67,0.14,KNYC
46,2014-8-16,71,0.15,KNYC
47,2014-8-17,74,0.14,KNYC
48,2014-8-18,72,0.14,KNYC
49,2014-8-19,73,0.15,KNYC
50,2014-8-20,77,0.14,KNYC
51,2014-8-21,74,0.15,KNYC
52,2014-8-22,72,0.14,KNYC
53,2014-8-23,72,0.14,KNYC
54,2014-8-24,72,0.14,KNYC
55,2014-8-25,76,0.14,KNYC
56,2014-8-26,80,0.12,KNYC
57,2014-8-27,80,0.13,KNYC
58,2014-8-28,74,0.13,KNYC
59,2014-8-29,71,0.12,KNYC
60,2014-8-30,73,0.12,KNYC
61,2014-8-31,82,0.12,KNYC
62,2014-9-1,82,0.13,KNYC
63,2014-9-2,85,0.13,KNYC
64,2014-9-3,79,0.13,KNYC
65,2014-9-4,78,0.14,KNYC
66,2014-9-5,80,0.13,KNYC
67,2014-9-6,79,0.13,KNYC
68,2014-9-7,73,0.14,KNYC
69,2014-9-8,70,0.13,KNYC
70,2014-9-9,68,0.13,KNYC
71,2014-9-10,72,0.13,KNYC
72,2014-9-11,76,0.13,KNYC
73,2014-9-12,70,0.14,KNYC
74,2014-9-13,64,0.14,KNYC
75,2014-9-14,62,0.14,KNYC
76,2014-9-15,63,0.15,KNYC
77,2014-9-16,64,0.15,KNYC
78,2014-9-17,64,0.15,KNYC
79,2014-9-18,67,0.15,KNYC
80,2014-9-19,60,0.15,KNYC
81,2014-9-20,66,0.15,KNYC
82,2014-9-21,71,0.15,KNYC
83,2014-9-22,63,0.15,KNYC
84,2014-9-23,62,0.14,KNYC
85,2014-9-24,65,0.15,KNYC
86,2014-9-25,61,0.14,KNYC
87,2014-9-26,68,0.15,KNYC
88,2014-9-27,72,0.15,KNYC
89,2014-9-28,74,0.16,KNYC
90,2014-9-29,73,0.16,KNYC
91,2014-9-30,67,0.16,KNYC
92,2014-10-1,63,0.15,KNYC
93,2014-10-2,66,0.14,KNYC
94,2014-10-3,64,0.14,KNYC
95,2014-10-4,61,0.13,KNYC
