,date,actual_mean_temp,average_precipitation,location
0,2014-7-1,77,0.03,KSEA
1,2014-7-2,70,0.03,KSEA
2,2014-7-3,64,0.03,KSEA
3,2014-7-4,66,0.03,KSEA
4,2014-7-5,66,0.03,KSEA
5,2014-7-6,72,0.03,KSEA
6,2014-7-7,73,0.03,KSEA
7,2014-7-8,73,0.03,KSEA
8,2014-7-9,69,0.02,KSEA
9,2014-7-10,70,0.03,KSEA
10,2014-7-11,74,0.03,KSEA
11,2014-7-12,76,0.02,KSEA
12,2014-7-13,72,0.02,KSEA
13,2014-7-14,71,0.03,KSEA
14,2014-7-15,73,0.02,KSEA
15,2014-7-16,73,0.02,KSEA
16,2014-7-17,69,0.02,KSEA
17,2014-7-18,64,0.02,KSEA
18,2014-7-19,69,0.02,KSEA
19,2014-7-20,63,0.02,KSEA
20,2014-7-21,66,0.01,KSEA
21,2014-7-22,63,0.02,KSEA
22,2014-7-23,61,0.02,KSEA
23,2014-7-24,62,0.02,KSEA
24,2014-7-25,64,0.02,KSEA
25,2014-7-26,68,0.02,KSEA
26,2014-7-27,71,0.01,KSEA
27,2014-7-28,73,0.02,KSEA
28,2014-7-29,73,0.02,KSEA
29,2014-7-30,72,0.01,KSEA
30,2014-7-31,76,0.02,KSEA
31,2014-8-1,72,0.02,KSEA
32,2014-8-2,73,0.02,KSEA
33,2014-8-3,74,0.01,KSEA
34,2014-8-4,76,0.02,KSEA
35,2014-8-5,67,0.02,KSEA
36,2014-8-6,69,0.02,KSEA
37,2014-8-7,67,0.02,KSEA
38,2014-8-8,67,0.02,KSEA
39,2014-8-9,71,0.03,KSEA
40,2014-8-10,72,0.02,KSEA
41,2014-8-11,80,0.03,KSEA
42,2014-8-12,72,0.02,KSEA
43,2014-8-13,67,0.03,KSEA
44,2014-8-14,67,0.03,KSEA
45,2014-8-15,69,0.03,KSEA
46,2014-8-16,69,0.03,KSEA
47,2014-8-17,71,0.03,KSEA
48,2014-8-18,73,0.03,KSEA
49,2014-8-19,71,0.03,KSEA
50,2014-8-20,64,0.03,KSEA
51,2014-8-21,61,0.03,KSEA
52,2014-8-22,66,0.03,KSEA
53,2014-8-23,70,0.04,KSEA
54,2014-8-24,67,0.03,KSEA
55,2014-8-25,71,0.03,KSEA
56,2014-8-26,74,0.04,KSEA
57,2014-8-27,73,0.04,KSEA
58,2014-8-28,66,0.03,KSEA
59,2014-8-29,66,0.04,KSEA
60,2014-8-30,62,0.04,KSEA
61,2014-8-31,64,0.04,KSEA
62,2014-9-1,65,0.04,KSEA
63,2014-9-2,63,0.03,KSEA
64,2014-9-3,62,0.04,KSEA
65,2014-9-4,64,0.05,KSEA
66,2014-9-5,70,0.04,KSEA
67,2014-9-6,75,0.04,KSEA
68,2014-9-7,70,0.04,KSEA
69,2014-9-8,63,0.05,KSEA
70,2014-9-9,64,0.04,KSEA
71,2014-9-10,63,0.04,KSEA
72,2014-9-11,66,0.05,KSEA
73,2014-9-12,66,0.04,KSEA
74,2014-9-13,67,0.05,KSEA
75,2014-9-14,70,0.04,KSEA
76,2014-9-15,71,0.05,KSEA
77,2014-9-16,65,0.05,KSEA
78,2014-9-17,66,0.04,KSEA
79,2014-9-18,63,0.05,KSEA
80,2014-9-19,68,0.05,KSEA
81,2014-9-20,67,0.06,KSEA
82,2014-9-21,67,0.05,KSEA
83,2014-9-22,66,0.06,KSEA
84,2014-9-23,62,0.05,KSEA
85,2014-9-24,62,0.06,KSEA
86,2014-9-25,65,0.06,KSEA
87,2014-9-26,63,0.07,KSEA
