,date,actual_mean_temp,average_precipitation,location
0,2014-7-1,76,0.11,MDW
1,2014-7-2,66,0.1,MDW
2,2014-7-3,66,0.11,MDW
3,2014-7-4,70,0.11,MDW
4,2014-7-5,71,0.13,MDW
5,2014-7-6,78,0.12,MDW
6,2014-7-7,81,0.13,MDW
7,2014-7-8,77,0.13,MDW
8,2014-7-9,73,0.12,MDW
9,2014-7-10,71,0.13,MDW
10,2014-7-11,73,0.13,MDW
11,2014-7-12,76,0.13,MDW
12,2014-7-13,79,0.12,MDW
13,2014-7-14,73,0.13,MDW
14,2014-7-15,64,0.13,MDW
15,2014-7-16,65,0.13,MDW
16,2014-7-17,68,0.12,MDW
17,2014-7-18,73,0.13,MDW
18,2014-7-19,71,0.13,MDW
19,2014-7-20,75,0.13,MDW
20,2014-7-21,78,0.14,MDW
21,2014-7-22,82,0.14,MDW
22,2014-7-23,70,0.14,MDW
23,2014-7-24,68,0.14,MDW
24,2014-7-25,69,0.13,MDW
25,2014-7-26,78,0.14,MDW
26,2014-7-27,78,0.14,MDW
27,2014-7-28,68,0.14,MDW
28,2014-7-29,71,0.14,MDW
29,2014-7-30,71,0.14,MDW
30,2014-7-31,74,0.15,MDW
31,2014-8-1,75,0.15,MDW
32,2014-8-2,74,0.14,MDW
33,2014-8-3,77,0.13,MDW
34,2014-8-4,78,0.14,MDW
35,2014-8-5,74,0.13,MDW
36,2014-8-6,73,0.13,MDW
37,2014-8-7,75,0.14,MDW
38,2014-8-8,76,0.13,MDW
39,2014-8-9,74,0.13,MDW
40,2014-8-10,77,0.13,MDW
41,2014-8-11,76,0.12,MDW
42,2014-8-12,67,0.14,MDW
43,2014-8-13,71,0.13,MDW
44,2014-8-14,67,0.14,MDW
45,2014-8-15,67,0.14,MDW
46,2014-8-16,73,0.13,MDW
47,2014-8-17,69,0.13,MDW
48,2014-8-18,76,0.13,MDW
49,2014-8-19,80,0.12,MDW
50,2014-8-20,78,0.12,MDW
51,2014-8-21,77,0.13,MDW
52,2014-8-22,81,0.12,MDW
53,2014-8-23,79,0.11,MDW
54,2014-8-24,81,0.13,MDW
55,2014-8-25,83,0.11,MDW
56,2014-8-26,79,0.12,MDW
57,2014-8-27,76,0.13,MDW
58,2014-8-28,73,0.12,MDW
59,2014-8-29,81,0.12,MDW
60,2014-8-30,80,0.12,MDW
61,2014-8-31,79,0.13,MDW
62,2014-9-1,80,0.12,MDW
63,2014-9-2,77,0.12,MDW
64,2014-9-3,76,0.11,MDW
65,2014-9-4,80,0.12,MDW
66,2014-9-5,78,0.11,MDW
67,2014-9-6,69,0.12,MDW
68,2014-9-7,69,0.12,MDW
69,2014-9-8,70,0.11,MDW
70,2014-9-9,74,0.11,MDW
71,2014-9-10,70,0.11,MDW
72,2014-9-11,55,0.11,MDW
73,2014-9-12,52,0.11,MDW
74,2014-9-13,51,0.11,MDW
75,2014-9-14,57,0.11,MDW
76,2014-9-15,58,0.11,MDW
77,2014-9-16,58,0.11,MDW
78,2014-9-17,61,0.1,MDW
79,2014-9-18,63,0.11,MDW
80,2014-9-19,67,0.12,MDW
81,2014-9-20,72,0.12,MDW
82,2014-9-21,61,0.11,MDW
83,2014-9-22,59,0.11,MDW
84,2014-9-23,63,0.11,MDW
85,2014-9-24,66,0.11,MDW
