,date,actual_mean_temp,average_precipitation,location
0,2014-7-1,83,0.13,PHL
1,2014-7-2,86,0.13,PHL
2,2014-7-3,83,0.12,PHL
3,2014-7-4,73,0.13,PHL
4,2014-7-5,74,0.13,PHL
5,2014-7-6,75,0.13,PHL
6,2014-7-7,84,0.13,PHL
7,2014-7-8,84,0.14,PHL
8,2014-7-9,80,0.15,PHL
9,2014-7-10,81,0.14,PHL
10,2014-7-11,80,0.14,PHL
11,2014-7-12,80,0.15,PHL
12,2014-7-13,82,0.14,PHL
13,2014-7-14,82,0.15,PHL
14,2014-7-15,82,0.15,PHL
15,2014-7-16,78,0.15,PHL
16,2014-7-17,75,0.15,PHL
17,2014-7-18,75,0.15,PHL
18,2014-7-19,75,0.14,PHL
19,2014-7-20,76,0.14,PHL
20,2014-7-21,76,0.14,PHL
21,2014-7-22,79,0.14,PHL
22,2014-7-23,83,0.14,PHL
23,2014-7-24,77,0.14,PHL
24,2014-7-25,74,0.14,PHL
25,2014-7-26,75,0.15,PHL
26,2014-7-27,81,0.15,PHL
27,2014-7-28,77,0.14,PHL
28,2014-7-29,70,0.14,PHL
29,2014-7-30,71,0.14,PHL
30,2014-7-31,76,0.14,PHL
31,2014-8-1,77,0.13,PHL
32,2014-8-2,73,0.12,PHL
33,2014-8-3,72,0.12,PHL
34,2014-8-4,78,0.12,PHL
35,2014-8-5,80,0.12,PHL
36,2014-8-6,76,0.11,PHL
37,2014-8-7,75,0.12,PHL
38,2014-8-8,73,0.12,PHL
39,2014-8-9,77,0.12,PHL
40,2014-8-10,78,0.12,PHL
41,2014-8-11,76,0.11,PHL
42,2014-8-12,74,0.11,PHL
43,2014-8-13,77,0.11,PHL
44,2014-8-14,71,0.12,PHL
45,2014-8-15,69,0.11,PHL
46,2014-8-16,71,0.12,PHL
47,2014-8-17,75,0.11,PHL
48,2014-8-18,73,0.11,PHL
49,2014-8-19,77,0.12,PHL
50,2014-8-20,79,0.12,PHL
51,2014-8-21,76,0.11,PHL
52,2014-8-22,74,0.12,PHL
53,2014-8-23,69,0.12,PHL
54,2014-8-24,74,0.1,PHL
55,2014-8-25,75,0.11,PHL
56,2014-8-26,80,0.1,PHL
57,2014-8-27,78,0.11,PHL
58,2014-8-28,74,0.09,PHL
59,2014-8-29,71,0.1,PHL
60,2014-8-30,71,0.1,PHL
61,2014-8-31,83,0.1,PHL
62,2014-9-1,82,0.1,PHL
63,2014-9-2,84,0.12,PHL
64,2014-9-3,78,0.12,PHL
65,2014-9-4,78,0.12,PHL
66,2014-9-5,81,0.12,PHL
67,2014-9-6,83,0.11,PHL
68,2014-9-7,75,0.12,PHL
69,2014-9-8,71,0.12,PHL
70,2014-9-9,72,0.12,PHL
71,2014-9-10,75,0.11,PHL
72,2014-9-11,76,0.13,PHL
73,2014-9-12,71,0.12,PHL
74,2014-9-13,66,0.13,PHL
75,2014-9-14,61,0.13,PHL
76,2014-9-15,63,0.13,PHL
77,2014-9-16,67,0.13,PHL
78,2014-9-17,66,0.13,PHL
79,2014-9-18,65,0.14,PHL
80,2014-9-19,65,0.13,PHL
81,2014-9-20,68,0.13,PHL
82,2014-9-21,72,0.13,PHL
83,2014-9-22,65,0.13,PHL
84,2014-9-23,61,0.12,PHL
85,2014-9-24,64,0.14,PHL
86,2014-9-25,62,0.13,PHL
87,2014-9-26,67,0.13,PHL
88,2014-9-27,72,0.14,PHL
89,2014-9-28,73,0.13,PHL
90,2014-9-29,70,0.14,PHL
91,2014-9-30,71,0.13,PHL
92,2014-10-1,68,0.11,PHL
93,2014-10-2,68,0.11,PHL
94,2014-10-3,66,0.12,PHL
95,2014-10-4,60,0.1,PHL
96,2014-10-5,52,0.12,PHL
97,2014-10-6,60,0.11,PHL
98,2014-10-7,67,0.1,PHL
99,2014-10-8,66,0.11,PHL
100,2014-10-9,61,0.11,PHL
101,2014-10-10,57,0.11,PHL
102,2014-10-11,54,0.1,PHL
103,2014-10-12,55,0.11,PHL
104,2014-10-13,61,0.1,PHL
105,2014-10-14,72,0.11,PHL
106,2014-10-15,72,0.1,PHL
107,2014-10-16,66,0.1,PHL
108,2014-10-17,65,0.1,PHL
109,2014-10-18,63,0.1,PHL
110,2014-10-19,51,0.09,PHL
111,2014-10-20,51,0.1,PHL
112,2014-10-21,61,0.1,PHL
113,2014-10-22,55,0.1,PHL
114,2014-10-23,54,0.1,PHL
115,2014-10-24,62,0.09,PHL
116,2014-10-25,58,0.1,PHL
117,2014-10-26,59,0.09,PHL
118,2014-10-27,57,0.09,PHL
119,2014-10-28,63,0.1,PHL
120,2014-10-29,60,0.1,PHL
121,2014-10-30,53,0.1,PHL
122,2014-10-31,47,0.1,PHL
123,2014-11-1,49,0.1,PHL
124,2014-11-2,46,0.1,PHL
125,2014-11-3,48,0.1,PHL
126,2014-11-4,60,0.09,PHL
127,2014-11-5,61,0.1,PHL
128,2014-11-6,53,0.09,PHL
129,2014-11-7,46,0.1,PHL
130,2014-11-8,42,0.09,PHL
131,2014-11-9,50,0.09,PHL
132,2014-11-10,50,0.09,PHL
133,2014-11-11,57,0.09,PHL
134,2014-11-12,58,0.08,PHL
135,2014-11-13,41,0.09,PHL
136,2014-11-14,39,0.09,PHL
137,2014-11-15,38,0.1,PHL
138,2014-11-16,39,0.09,PHL
139,2014-11-17,46,0.1,PHL
140,2014-11-18,34,0.1,PHL
141,2014-11-19,28,0.11,PHL
142,2014-11-20,41,0.1,PHL
143,2014-11-21,32,0.1,PHL
144,2014-11-22,35,0.11,PHL
145,2014-11-23,48,0.1,PHL
146,2014-11-24,64,0.11,PHL
147,2014-11-25,58,0.11,PHL
148,2014-11-26,42,0.1,PHL
149,2014-11-27,36,0.11,PHL
150,2014-11-28,34,0.11,PHL
151,2014-11-29,36,0.12,PHL
152,2014-11-30,51,0.12,PHL
153,2014-12-1,54,0.12,PHL
154,2014-12-2,41,0.13,PHL
155,2014-12-3,44,0.12,PHL
156,2014-12-4,39,0.13,PHL
157,2014-12-5,41,0.12,PHL
158,2014-12-6,46,0.13,PHL
159,2014-12-7,40,0.12,PHL
160,2014-12-8,32,0.12,PHL
161,2014-12-9,41,0.13,PHL
162,2014-12-10,40,0.13,PHL
163,2014-12-11,36,0.12,PHL
164,2014-12-12,38,0.13,PHL
165,2014-12-13,39,0.12,PHL
166,2014-12-14,42,0.12,PHL
