,date,actual_mean_temp,average_precipitation,location
0,2014-7-1,98,0.02,PHX
1,2014-7-2,98,0.01,PHX
2,2014-7-3,94,0.02,PHX
3,2014-7-4,90,0.02,PHX
4,2014-7-5,94,0.02,PHX
5,2014-7-6,95,0.02,PHX
6,2014-7-7,98,0.02,PHX
7,2014-7-8,96,0.03,PHX
8,2014-7-9,92,0.02,PHX
9,2014-7-10,96,0.03,PHX
10,2014-7-11,98,0.03,PHX
11,2014-7-12,99,0.03,PHX
12,2014-7-13,95,0.03,PHX
13,2014-7-14,92,0.04,PHX
14,2014-7-15,95,0.04,PHX
15,2014-7-16,96,0.04,PHX
16,2014-7-17,96,0.04,PHX
17,2014-7-18,94,0.04,PHX
18,2014-7-19,96,0.04,PHX
19,2014-7-20,96,0.04,PHX
20,2014-7-21,96,0.05,PHX
21,2014-7-22,101,0.04,PHX
22,2014-7-23,104,0.04,PHX
23,2014-7-24,105,0.04,PHX
24,2014-7-25,98,0.05,PHX
25,2014-7-26,96,0.04,PHX
26,2014-7-27,94,0.04,PHX
27,2014-7-28,96,0.05,PHX
28,2014-7-29,101,0.04,PHX
29,2014-7-30,102,0.04,PHX
30,2014-7-31,98,0.04,PHX
31,2014-8-1,90,0.03,PHX
32,2014-8-2,90,0.04,PHX
33,2014-8-3,92,0.04,PHX
34,2014-8-4,92,0.03,PHX
35,2014-8-5,94,0.04,PHX
36,2014-8-6,96,0.03,PHX
37,2014-8-7,94,0.04,PHX
38,2014-8-8,95,0.03,PHX
39,2014-8-9,94,0.03,PHX
40,2014-8-10,94,0.04,PHX
41,2014-8-11,98,0.03,PHX
42,2014-8-12,88,0.03,PHX
43,2014-8-13,84,0.04,PHX
44,2014-8-14,93,0.03,PHX
45,2014-8-15,94,0.03,PHX
46,2014-8-16,97,0.03,PHX
47,2014-8-17,99,0.03,PHX
48,2014-8-18,91,0.03,PHX
49,2014-8-19,83,0.03,PHX
50,2014-8-20,87,0.04,PHX
51,2014-8-21,81,0.03,PHX
52,2014-8-22,83,0.03,PHX
53,2014-8-23,87,0.03,PHX
54,2014-8-24,91,0.04,PHX
55,2014-8-25,92,0.03,PHX
56,2014-8-26,90,0.03,PHX
57,2014-8-27,93,0.03,PHX
58,2014-8-28,95,0.03,PHX
59,2014-8-29,96,0.03,PHX
60,2014-8-30,97,0.03,PHX
61,2014-8-31,96,0.02,PHX
62,2014-9-1,95,0.03,PHX
63,2014-9-2,96,0.02,PHX
64,2014-9-3,96,0.03,PHX
65,2014-9-4,95,0.02,PHX
66,2014-9-5,91,0.03,PHX
67,2014-9-6,96,0.02,PHX
68,2014-9-7,94,0.03,PHX
69,2014-9-8,81,0.02,PHX
70,2014-9-9,86,0.03,PHX
71,2014-9-10,88,0.02,PHX
72,2014-9-11,90,0.02,PHX
73,2014-9-12,91,0.02,PHX
74,2014-9-13,92,0.02,PHX
75,2014-9-14,92,0.02,PHX
76,2014-9-15,96,0.02,PHX
77,2014-9-16,86,0.03,PHX
78,2014-9-17,84,0.01,PHX
79,2014-9-18,86,0.02,PHX
80,2014-9-19,90,0.02,PHX
81,2014-9-20,90,0.02,PHX
82,2014-9-21,90,0.02,PHX
83,2014-9-22,91,0.02,PHX
84,2014-9-23,90,0.02,PHX
85,2014-9-24,91,0.02,PHX
86,2014-9-25,92,0.01,PHX
87,2014-9-26,92,0.02,PHX
88,2014-9-27,82,0.02,PHX
89,2014-9-28,79,0.02,PHX
90,2014-9-29,78,0.02,PHX
91,2014-9-30,78,0.02,PHX
92,2014-10-1,79,0.02,PHX
93,2014-10-2,81,0.02,PHX
94,2014-10-3,83,0.02,PHX
95,2014-10-4,84,0.02,PHX
96,2014-10-5,83,0.02,PHX
97,2014-10-6,82,0.02,PHX
98,2014-10-7,81,0.02,PHX
99,2014-10-8,76,0.02,PHX
