,date,actual_mean_temp,actual_min_temp,actual_max_temp,actual_precipitation,location
0,2014-7-1,81,70,91,0.0,CLT
1,2014-7-2,85,74,95,0.0,CLT
2,2014-7-3,82,71,93,0.14,CLT
3,2014-7-4,75,64,86,0.0,CLT
4,2014-7-5,72,60,84,0.0,CLT
5,2014-7-6,74,61,87,0.0,CLT
6,2014-7-7,79,67,91,0.0,CLT
7,2014-7-8,83,72,94,0.0,CLT
8,2014-7-9,80,71,89,0.15,CLT
9,2014-7-10,78,71,85,0.0,CLT
10,2014-7-11,78,68,87,0.0,CLT
11,2014-7-12,79,67,91,0.0,CLT
12,2014-7-13,81,69,92,0.0,CLT
13,2014-7-14,85,74,96,0.0,CLT
14,2014-7-15,81,67,94,0.87,CLT
15,2014-7-16,76,66,85,0.0,CLT
16,2014-7-17,74,63,84,0.0,CLT
17,2014-7-18,77,70,83,0.0,CLT
18,2014-7-19,70,66,74,0.17,CLT
19,2014-7-20,74,65,83,0.0,CLT
20,2014-7-21,74,70,77,1.3,CLT
21,2014-7-22,79,72,85,0.0,CLT
22,2014-7-23,80,69,90,0.0,CLT
23,2014-7-24,80,71,89,0.06,CLT
24,2014-7-25,77,68,86,0.0,CLT
25,2014-7-26,78,66,89,0.0,CLT
26,2014-7-27,80,70,90,0.18,CLT
27,2014-7-28,79,68,90,0.06,CLT
28,2014-7-29,73,62,83,0.0,CLT
29,2014-7-30,74,63,85,0.0,CLT
30,2014-7-31,72,65,78,1.45,CLT
31,2014-8-1,68,65,70,2.39,CLT
32,2014-8-2,69,65,72,0.0,CLT
33,2014-8-3,77,67,86,0.0,CLT
34,2014-8-4,78,69,87,0.0,CLT
35,2014-8-5,77,65,88,0.0,CLT
36,2014-8-6,78,68,88,0.17,CLT
37,2014-8-7,78,67,88,0.0,CLT
38,2014-8-8,77,73,81,0.0,CLT
39,2014-8-9,76,68,84,0.0,CLT
40,2014-8-10,70,67,73,0.01,CLT
41,2014-8-11,78,71,85,0.58,CLT
42,2014-8-12,81,72,89,0.31,CLT
43,2014-8-13,75,65,84,0.0,CLT
44,2014-8-14,71,59,83,0.0,CLT
45,2014-8-15,73,60,86,0.0,CLT
46,2014-8-16,77,68,86,0.0,CLT
47,2014-8-17,78,67,89,0.0,CLT
48,2014-8-18,81,71,90,0.0,CLT
49,2014-8-19,80,70,90,0.0,CLT
50,2014-8-20,79,67,91,0.0,CLT
51,2014-8-21,80,67,93,0.0,CLT
52,2014-8-22,83,70,95,0.0,CLT
53,2014-8-23,82,73,91,0.08,CLT
54,2014-8-24,74,66,81,0.14,CLT
55,2014-8-25,72,60,83,0.0,CLT
56,2014-8-26,72,60,84,0.0,CLT
57,2014-8-27,72,57,87,0.0,CLT
58,2014-8-28,77,61,92,0.0,CLT
59,2014-8-29,79,69,88,0.0,CLT
60,2014-8-30,79,68,90,0.0,CLT
61,2014-8-31,83,74,91,0.06,CLT
62,2014-9-1,82,71,93,0.0,CLT
63,2014-9-2,82,69,94,0.0,CLT
64,2014-9-3,81,68,93,0.63,CLT
65,2014-9-4,77,69,85,0.82,CLT
66,2014-9-5,79,69,89,0.01,CLT
67,2014-9-6,80,70,90,0.0,CLT
68,2014-9-7,79,70,88,0.09,CLT
69,2014-9-8,70,67,73,0.0,CLT
70,2014-9-9,72,66,77,0.0,CLT
71,2014-9-10,72,65,79,0.0,CLT
72,2014-9-11,77,64,89,0.09,CLT
73,2014-9-12,81,72,90,0.08,CLT
74,2014-9-13,76,66,86,1.56,CLT
75,2014-9-14,66,62,69,0.0,CLT
76,2014-9-15,76,65,86,0.37,CLT
77,2014-9-16,76,65,86,0.37,CLT
78,2014-9-17,69,63,74,0.0,CLT
79,2014-9-18,71,62,80,0.0,CLT
80,2014-9-19,73,67,79,0.02,CLT
81,2014-9-20,71,59,82,0.0,CLT
82,2014-9-21,71,57,85,0.0,CLT
83,2014-9-22,69,61,76,0.0,CLT
84,2014-9-23,59,53,65,0.02,CLT
85,2014-9-24,59,53,64,0.19,CLT
86,2014-9-25,66,61,70,0.01,CLT
87,2014-9-26,67,62,71,0.0,CLT
88,2014-9-27,69,59,78,0.0,CLT
89,2014-9-28,68,60,76,0.0,CLT
90,2014-9-29,67,64,70,0.09,CLT
91,2014-9-30,71,59,83,0.0,CLT
92,2014-10-1,70,56,84,0.0,CLT
93,2014-10-2,72,59,85,0.0,CLT
94,2014-10-3,70,61,79,0.03,CLT
95,2014-10-4,55,43,67,0.0,CLT
96,2014-10-5,52,38,65,0.0,CLT
97,2014-10-6,62,47,76,0.0,CLT
98,2014-10-7,67,53,80,0.0,CLT
99,2014-10-8,72,58,86,0.0,CLT
100,2014-10-9,66,52,80,0.0,CLT
101,2014-10-10,72,60,84,0.0,CLT
102,2014-10-11,78,68,87,0.08,CLT
103,2014-10-12,63,58,68,0.02,CLT
104,2014-10-13,66,59,72,0.04,CLT
105,2014-10-14,73,64,82,0.45,CLT
106,2014-10-15,66,58,73,0.24,CLT
107,2014-10-16,61,50,71,0.0,CLT
108,2014-10-17,59,44,74,0.0,CLT
109,2014-10-18,65,53,76,0.0,CLT
110,2014-10-19,57,45,69,0.0,CLT
111,2014-10-20,59,46,71,0.0,CLT
112,2014-10-21,61,47,75,0.0,CLT
113,2014-10-22,56,44,68,0.0,CLT
114,2014-10-23,55,40,70,0.0,CLT
115,2014-10-24,54,39,69,0.0,CLT
116,2014-10-25,57,39,74,0.0,CLT
117,2014-10-26,66,48,83,0.0,CLT
118,2014-10-27,62,43,80,0.0,CLT
119,2014-10-28,68,52,84,0.0,CLT
120,2014-10-29,69,58,79,0.0,CLT
121,2014-10-30,57,45,68,0.0,CLT
122,2014-10-31,50,39,61,0.49,CLT
123,2014-11-1,47,40,53,0.28,CLT
124,2014-11-2,44,30,57,0.0,CLT
125,2014-11-3,45,24,65,0.0,CLT
126,2014-11-4,53,39,67,0.0,CLT
127,2014-11-5,60,49,70,0.0,CLT
128,2014-11-6,60,48,71,0.04,CLT
129,2014-11-7,50,39,61,0.0,CLT
130,2014-11-8,45,31,58,0.0,CLT
131,2014-11-9,51,38,63,0.0,CLT
132,2014-11-10,51,32,69,0.0,CLT
133,2014-11-11,57,39,74,0.0,CLT
134,2014-11-12,59,41,77,0.0,CLT
135,2014-11-13,53,46,60,0.0,CLT
136,2014-11-14,37,28,46,0.01,CLT
137,2014-11-15,35,25,45,0.0,CLT
138,2014-11-16,41,29,53,0.0,CLT
139,2014-11-17,47,36,57,0.63,CLT
140,2014-11-18,30,20,39,0.0,CLT
141,2014-11-19,29,14,44,0.0,CLT
142,2014-11-20,47,34,59,0.0,CLT
143,2014-11-21,44,30,58,0.0,CLT
144,2014-11-22,39,22,55,0.0,CLT
145,2014-11-23,54,42,65,1.72,CLT
146,2014-11-24,67,59,74,0.0,CLT
147,2014-11-25,58,49,66,0.22,CLT
148,2014-11-26,46,40,52,0.89,CLT
149,2014-11-27,43,34,52,0.0,CLT
150,2014-11-28,36,25,47,0.0,CLT
151,2014-11-29,44,31,56,0.0,CLT
152,2014-11-30,54,39,68,0.0,CLT
153,2014-12-1,57,41,73,0.0,CLT
154,2014-12-2,49,42,55,0.0,CLT
155,2014-12-3,53,42,64,0.0,CLT
156,2014-12-4,56,49,63,0.0,CLT
157,2014-12-5,47,42,51,0.04,CLT
158,2014-12-6,47,42,52,0.12,CLT
159,2014-12-7,48,39,56,0.0,CLT
160,2014-12-8,40,36,43,0.14,CLT
161,2014-12-9,46,37,55,0.0,CLT
162,2014-12-10,43,32,53,0.0,CLT
163,2014-12-11,37,23,51,0.0,CLT
164,2014-12-12,41,22,60,0.0,CLT
165,2014-12-13,46,25,66,0.0,CLT
166,2014-12-14,46,29,63,0.0,CLT
167,2014-12-15,43,26,60,0.0,CLT
168,2014-12-16,48,37,58,0.09,CLT
169,2014-12-17,46,31,60,0.0,CLT
170,2014-12-18,43,30,56,0.0,CLT
171,2014-12-19,43,30,56,0.0,CLT
172,2014-12-20,44,40,48,0.03,CLT
173,2014-12-21,47,42,51,0.0,CLT
174,2014-12-22,42,38,46,0.26,CLT
175,2014-12-23,42,37,47,0.29,CLT
176,2014-12-24,53,45,60,0.91,CLT
177,2014-12-25,45,32,57,0.0,CLT
178,2014-12-26,43,27,59,0.0,CLT
179,2014-12-27,48,32,64,0.0,CLT
180,2014-12-28,55,49,60,0.04,CLT
181,2014-12-29,51,44,58,0.59,CLT
182,2014-12-30,39,32,45,0.06,CLT
183,2014-12-31,37,27,46,0.0,CLT
184,2015-1-1,40,26,53,0.0,CLT
185,2015-1-2,47,42,52,0.12,CLT
186,2015-1-3,50,47,52,0.25,CLT
187,2015-1-4,56,47,65,0.26,CLT
188,2015-1-5,45,36,54,0.0,CLT
189,2015-1-6,41,24,57,0.0,CLT
190,2015-1-7,29,16,41,0.0,CLT
191,2015-1-8,18,8,28,0.0,CLT
192,2015-1-9,34,22,45,0.0,CLT
193,2015-1-10,30,19,41,0.0,CLT
194,2015-1-11,31,15,46,0.08,CLT
195,2015-1-12,41,37,45,0.98,CLT
196,2015-1-13,41,35,47,0.04,CLT
197,2015-1-14,35,30,40,0.0,CLT
198,2015-1-15,34,26,42,0.0,CLT
199,2015-1-16,43,30,56,0.0,CLT
200,2015-1-17,41,24,57,0.0,CLT
201,2015-1-18,49,37,61,0.02,CLT
202,2015-1-19,49,33,64,0.0,CLT
203,2015-1-20,53,39,67,0.0,CLT
204,2015-1-21,50,36,64,0.0,CLT
205,2015-1-22,41,25,57,0.0,CLT
206,2015-1-23,41,36,45,0.88,CLT
207,2015-1-24,43,33,53,0.16,CLT
208,2015-1-25,43,28,57,0.0,CLT
209,2015-1-26,45,37,53,0.01,CLT
210,2015-1-27,39,29,48,0.0,CLT
211,2015-1-28,36,23,49,0.0,CLT
212,2015-1-29,38,25,50,0.0,CLT
213,2015-1-30,38,26,49,0.0,CLT
214,2015-1-31,35,19,51,0.0,CLT
215,2015-2-1,47,36,57,0.01,CLT
216,2015-2-2,42,26,57,0.39,CLT
217,2015-2-3,34,22,46,0.0,CLT
218,2015-2-4,41,28,53,0.0,CLT
